ID	name	UP/DOWN	statistic	p.value	FDRp.value	N.nodes	N.gene.nodes	N.measured.nodes	ratio.measured.gene.nodes	nodes	N.DA.nodes	DA.nodes
P-hsa04068-40	FoxO signaling pathway: CCND1	UP	2.30280345429537e-05	0.999981647485255	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-40	29	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7, N-hsa04068-40
P-hsa04068-96	FoxO signaling pathway: CCNG2	UP	1.79601880868225e-05	0.999985686376487	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-96	28	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7
P-hsa04068-41	FoxO signaling pathway: CDKN2B	UP	1.40264993179397e-05	0.999988821384861	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-41	28	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7
P-hsa04068-42	FoxO signaling pathway: CDKN2D	UP	2.38645479920877e-05	0.999980980814143	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-42	29	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7, N-hsa04068-42
P-hsa04068-43	FoxO signaling pathway: CDKN1A	UP	1.58785242711529e-05	0.999987345387628	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-43	28	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7
P-hsa04068-44	FoxO signaling pathway: CDKN1B	UP	1.76619782482367e-05	0.999985924038995	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-44	28	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7
P-hsa04068-45	FoxO signaling pathway: RBL2	UP	1.31801415041152e-05	0.999989495901578	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-45	29	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7, N-hsa04068-45
P-hsa04068-46	FoxO signaling pathway: PLK4	UP	1.72310719998952e-05	0.999986267455767	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-46	28	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7
P-hsa04068-47	FoxO signaling pathway: GADD45G	UP	1.61374947049309e-05	0.999987138997513	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-47	28	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7
P-hsa04068-48	FoxO signaling pathway: FASLG	UP	1.29784896564102e-05	0.999989656610843	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-48	28	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7
P-hsa04068-49	FoxO signaling pathway: BCL2L11	UP	2.08989371017877e-05	0.999983344299288	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-49	29	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7, N-hsa04068-49
P-hsa04068-50	FoxO signaling pathway: TNFSF10	UP	1.84961738519783e-05	0.999985259215122	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-50	28	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7
P-hsa04068-51	FoxO signaling pathway: BCL6	UP	7.93437723761023e-06	0.999993676586902	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-51	29	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7, N-hsa04068-51
P-hsa04068-66	FoxO signaling pathway: BNIP3	UP	1.65929571165389e-05	0.999986776010363	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-66	28	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7
P-hsa04068-68	FoxO signaling pathway: ATG12	UP	1.74572127572311e-05	0.999986087229722	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-68	29	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7, N-hsa04068-68
P-hsa04068-67	FoxO signaling pathway: GABARAP	UP	1.18168922956813e-05	0.999990582362133	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-67	29	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7, N-hsa04068-67
P-hsa04068-52	FoxO signaling pathway: CAT	UP	2.77331355499697e-06	0.999997789768909	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-52	29	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7, N-hsa04068-52
P-hsa04068-53	FoxO signaling pathway: SOD2	UP	1.34218542425744e-05	0.999989303265225	1	41	37	37	1	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-4, N-hsa04068-5, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-11, N-hsa04068-12, N-hsa04068-15, N-hsa04068-16, N-hsa04068-17, N-hsa04068-18, N-hsa04068-19, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-65, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-80, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-94, N-hsa04068-95, N-hsa04068-97, N-hsa04068-62 63, N-hsa04068-62 64, N-hsa04068-7, N-hsa04068-53	29	N-hsa04068-1, N-hsa04068-2, N-hsa04068-3, N-hsa04068-8, N-hsa04068-9, N-hsa04068-10, N-hsa04068-12, N-hsa04068-15, N-hsa04068-17, N-hsa04068-18, N-hsa04068-24, N-hsa04068-25, N-hsa04068-26, N-hsa04068-27, N-hsa04068-29, N-hsa04068-34, N-hsa04068-35, N-hsa04068-36, N-hsa04068-38, N-hsa04068-70, N-hsa04068-78, N-hsa04068-79, N-hsa04068-83, N-hsa04068-84, N-hsa04068-85, N-hsa04068-86, N-hsa04068-93, N-hsa04068-7, N-hsa04068-53
