module	path_id	path_name	name	class	description	compounds
38	M00035_C02291	hsa00270	Cysteine and methionine metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	Cysteine and methionine are sulfur-containing amino acids. Cysteine is synthesized from serine through different pathways in different organism groups. In bacteria and plants, cysteine is converted from serine (via acetylserine) by transfer of hydrogen sulfide [MD:M00021]. In animals, methionine-derived homocysteine is used as sulfur source and its condensation product with serine (cystathionine) is converted to cysteine [MD:M00338]. Cysteine is metabolized to pyruvate in multiple routes. Methionine is an essential amino acid, which animals cannot synthesize. In bacteria and plants, methionine is synthesized from aspartate [MD:M00017]. S-Adenosylmethionine (SAM), synthesized from methionine and ATP, is a methyl group donor in many important transfer reactions including DNA methylation for regulation of gene expression. SAM may also be used to regenerate methionine in the methionine salvage pathway [MD:M00034].	S-Adenosyl-L-methionine, S-Adenosyl-L-homocysteine, Pyruvate, L-Alanine, L-Aspartate, Glutathione, Sulfate, L-Serine, L-Methionine, Sulfite, L-Cysteine, 2-Oxobutanoate, L-Homocysteine, 5'-Methylthioadenosine, 3-Phospho-D-glycerate, L-Homoserine, Hydrogen sulfide, Methanethiol, L-Aspartate 4-semialdehyde, L-Cystine, L-Cysteate, 3-Sulfino-L-alanine, D-Cysteine, Mercaptopyruvate, O-Acetyl-L-serine, O-Phospho-L-serine, O-Acetyl-L-homoserine, O-Phospho-L-homoserine, O-Succinyl-L-homoserine, S-Adenosylmethioninamine, 4-Methylthio-2-oxobutanoic acid, 1-Aminocyclopropane-1-carboxylate, L-Homocystine, Thiocysteine, Dehydroalanine, L-Cystathionine, (S)-2-Aminobutanoate, L-Methionine S-oxide, 4-Phospho-L-aspartate, 5-Methylthio-D-ribose, N-Formylmethionine, 3-Phosphonooxypyruvate, S-Inosyl-L-homocysteine, S-Ribosyl-L-homocysteine, S-Methyl-5-thio-D-ribose 1-phosphate, S-Methyl-5-thio-D-ribulose 1-phosphate, Nicotianamine, Aminoacyl-L-methionine, S-Glutathionyl-L-cysteine, 3-Sulfinylpyruvate, 3-Sulfopyruvate, 3-Mercaptolactate, S-Sulfo-L-cysteine, Ethylene, 3-(Methylthio)propanoate, Sulfur dioxide, 1-Deoxy-D-xylulose 5-phosphate, HSO3-, (S)-3-Sulfolactate, (2R)-3-Sulfolactate, 1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one, 2,3-Diketo-5-methylthiopentyl-1-phosphate, 2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate, N-Acyl-L-homoserine lactone, 5'-S-Methyl-5'-thioinosine, gamma-L-Glutamyl-L-2-aminobutyrate, Ophthalmate, S-Methyl-1-thio-D-xylulose 5-phosphate
39	M00036_C00164	hsa00280	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation - Homo sapiens (human)	Metabolism; Amino acid metabolism	NA	Acetyl-CoA, Thiamin diphosphate, Succinyl-CoA, Propanoyl-CoA, L-Leucine, 3-Methyl-2-oxobutanoic acid, Acetoacetate, L-Valine, 4-Methyl-2-oxopentanoate, Acetoacetyl-CoA, 2-Methyl-3-oxopropanoate, (S)-3-Hydroxy-3-methylglutaryl-CoA, L-Isoleucine, 2-Methylpropanoyl-CoA, (S)-3-Methyl-2-oxopentanoic acid, (S)-Methylmalonyl-CoA, (R)-3-Amino-2-methylpropanoate, (R)-Methylmalonyl-CoA, Methylmalonate, 3-Methylbutanoyl-CoA, 3-Methylcrotonyl-CoA, 3-Methylglutaconyl-CoA, L-3-Aminoisobutanoate, 2-Methylacetoacetyl-CoA, 2-Methylbut-2-enoyl-CoA, 2-Methylprop-2-enoyl-CoA, (2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA, Branched chain fatty acid, 3-Hydroxyisovaleryl-CoA, (S)-3-Hydroxyisobutyryl-CoA, (S)-3-Hydroxyisobutyrate, (S)-Methylmalonate semialdehyde, Enzyme N6-(lipoyl)lysine, Enzyme N6-(dihydrolipoyl)lysine, 3-Methyl-1-hydroxybutyl-ThPP, [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine, 2-Methyl-1-hydroxypropyl-ThPP, [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine, 2-Methyl-1-hydroxybutyl-ThPP, [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine, (S)-2-Methylbutanoyl-CoA, 3-Hydroxyisovalerate
40	M00037_C01598	hsa00380	Tryptophan metabolism	Tryptophan metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	NA	Acetyl-CoA, L-Tryptophan, Anthranilate, 2-Oxoadipate, L-Kynurenine, Indolepyruvate, Acetoacetyl-CoA, Tryptamine, Indole, Glutaryl-CoA, 3-Hydroxyanthranilate, Indole-3-acetaldehyde, 5-Hydroxy-L-tryptophan, Serotonin, Crotonoyl-CoA, Indole-3-acetate, Indole-3-ethanol, N-Acetylserotonin, 7,8-Dihydroxykynurenate, (S)-3-Hydroxybutanoyl-CoA, 7,8-Dihydro-7,8-dihydroxykynurenate, 4-(2-Aminophenyl)-2,4-dioxobutanoate, Melatonin, 4-Hydroxy-2-quinolinecarboxylic acid, 2-Aminophenol, 2-Aminophenoxazin-3-one, N-Acetylisatin, 2-Aminomuconate, N-Acetylindoxyl, Xanthurenic acid, (Indol-3-yl)acetamide, L-Formylkynurenine, 2,3-Dihydroxyindole, Indole-3-acetaldehyde oxime, 3-Indoleacetonitrile, 3-Hydroxy-L-kynurenine, (Indol-3-yl)glycolaldehyde, gamma-Oxalocrotonate, 2-Formylaminobenzaldehyde, Quinolinate, 2-Aminomuconate semialdehyde, 2-Amino-3-carboxymuconate semialdehyde, 5-Hydroxyindoleacetaldehyde, 5-Hydroxyindoleacetate, 3-Hydroxykynurenamine, 4,8-Dihydroxyquinoline, 5-Hydroxykynurenamine, 4,6-Dihydroxyquinoline, Cinnavalininate, 5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate, Formyl-N-acetyl-5-methoxykynurenamine, 6-Hydroxymelatonin, 3-Methylindolepyruvate, 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate, 5-Hydroxyindolepyruvate, Formyl-5-hydroxykynurenamine, 5-Hydroxy-N-formylkynurenine, 5-Hydroxykynurenine, 4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate, Formylanthranilate, 5-(2'-Formylethyl)-4,6-dihydroxypicolinate, 5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate, 5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate, Indoxyl, 5-Methoxytryptamine, 5-Methoxyindoleacetate, 6-Hydroxykynurenate, 8-Methoxykynurenate, 3-Methoxyanthranilate, 5-Hydroxyindoleacetylglycine, 3-Methyldioxyindole, 2-Formaminobenzoylacetate, Glucobrassicin, N-Methylserotonin, N-Methyltryptamine, Skatole, Picolinic acid, Indolylmethylthiohydroximate, Indolylmethyl-desulfoglucosinolate, S-(Indolylmethylthiohydroximoyl)-L-cysteine, N-Hydroxyl-tryptamine, (R)-(Indol-3-yl)lactate, 2-Oxoindole-3-acetate
41	M00042_C00788	hsa00350	Tyrosine metabolism	Tyrosine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	NA	Pyruvate, Succinate, L-Tyrosine, Fumarate, Phenol, Acetoacetate, Succinate semialdehyde, 3,4-Dihydroxy-L-phenylalanine, Tyramine, Hydroquinone, Homogentisate, L-Noradrenaline, 2,5-Dihydroxybenzoate, 4-Hydroxyphenylacetate, L-Adrenaline, 4-Coumarate, Dopaquinone, 4-Maleylacetoacetate, 3,5-Diiodo-L-tyrosine, 4-Fumarylacetoacetate, 3,4-Dihydroxyphenylacetate, 3-(4-Hydroxyphenyl)pyruvate, Maleic acid, L-Dopachrome, Thyroxine, Rosmarinate, Maleylpyruvate, N-Methyltyramine, Triiodothyronine, 3-Fumarylpyruvate, 3-Iodo-L-tyrosine, 2-Oxohept-3-enedioate, 4-Chlorophenylacetate, Dopamine, 4-Hydroxyphenylacetaldehyde, (R)-3-(4-Hydroxyphenyl)lactate, 3,4-Dihydroxyphenylacetaldehyde, 3-(3,4-Dihydroxyphenyl)pyruvate, 5-Carboxy-2-oxohept-3-enedioate, 5,6-Dihydroxyindole-2-carboxylate, 5-Carboxymethyl-2-hydroxymuconate, 3-Amino-3-(4-hydroxyphenyl)propanoate, 2-Hydroxy-5-carboxymethylmuconate semialdehyde, 4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde, 5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde, 4-Hydroxyphenylacetyl-CoA, 2-Hydroxy-3-(4-hydroxyphenyl)propenoate, 3,4-Dihydroxyphenylethyleneglycol, 3,4-Dihydroxymandelaldehyde, 5,6-Dihydroxyindole, Indole-5,6-quinone, 3,4-Dihydroxymandelate, 3-Methoxy-4-hydroxyphenylacetaldehyde, Homovanillate, 3-Methoxy-4-hydroxyphenylglycolaldehyde, 3-Methoxy-4-hydroxymandelate, Gentisate aldehyde, 3-Methoxytyramine, L-Metanephrine, L-Normetanephrine, 3-Hydroxyphenylacetate, 3-Methoxy-4-hydroxyphenylethyleneglycol, 4-Hydroxyphenylacetylglutamic acid, p-Hydroxyphenylacetylglycine, 2-Hydroxyhepta-2,4-dienedioate, 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole, 4-Hydroxyphenylethanol, Salidroside, Stizolobate, Stizolobinate, Hordenine, 2,4-Dihydroxyhept-2-enedioate, 3,4-Dihydroxyphenylpropanoate, Cysteinyldopa, Phaeomelanin, Eumelanin, 5,6-Indolequinone-2-carboxylic acid, (R)-3-(3,4-Dihydroxyphenyl)lactate
42	M00043_C02465	hsa00350	Tyrosine metabolism	Tyrosine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	NA	Pyruvate, Succinate, L-Tyrosine, Fumarate, Phenol, Acetoacetate, Succinate semialdehyde, 3,4-Dihydroxy-L-phenylalanine, Tyramine, Hydroquinone, Homogentisate, L-Noradrenaline, 2,5-Dihydroxybenzoate, 4-Hydroxyphenylacetate, L-Adrenaline, 4-Coumarate, Dopaquinone, 4-Maleylacetoacetate, 3,5-Diiodo-L-tyrosine, 4-Fumarylacetoacetate, 3,4-Dihydroxyphenylacetate, 3-(4-Hydroxyphenyl)pyruvate, Maleic acid, L-Dopachrome, Thyroxine, Rosmarinate, Maleylpyruvate, N-Methyltyramine, Triiodothyronine, 3-Fumarylpyruvate, 3-Iodo-L-tyrosine, 2-Oxohept-3-enedioate, 4-Chlorophenylacetate, Dopamine, 4-Hydroxyphenylacetaldehyde, (R)-3-(4-Hydroxyphenyl)lactate, 3,4-Dihydroxyphenylacetaldehyde, 3-(3,4-Dihydroxyphenyl)pyruvate, 5-Carboxy-2-oxohept-3-enedioate, 5,6-Dihydroxyindole-2-carboxylate, 5-Carboxymethyl-2-hydroxymuconate, 3-Amino-3-(4-hydroxyphenyl)propanoate, 2-Hydroxy-5-carboxymethylmuconate semialdehyde, 4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde, 5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde, 4-Hydroxyphenylacetyl-CoA, 2-Hydroxy-3-(4-hydroxyphenyl)propenoate, 3,4-Dihydroxyphenylethyleneglycol, 3,4-Dihydroxymandelaldehyde, 5,6-Dihydroxyindole, Indole-5,6-quinone, 3,4-Dihydroxymandelate, 3-Methoxy-4-hydroxyphenylacetaldehyde, Homovanillate, 3-Methoxy-4-hydroxyphenylglycolaldehyde, 3-Methoxy-4-hydroxymandelate, Gentisate aldehyde, 3-Methoxytyramine, L-Metanephrine, L-Normetanephrine, 3-Hydroxyphenylacetate, 3-Methoxy-4-hydroxyphenylethyleneglycol, 4-Hydroxyphenylacetylglutamic acid, p-Hydroxyphenylacetylglycine, 2-Hydroxyhepta-2,4-dienedioate, 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole, 4-Hydroxyphenylethanol, Salidroside, Stizolobate, Stizolobinate, Hordenine, 2,4-Dihydroxyhept-2-enedioate, 3,4-Dihydroxyphenylpropanoate, Cysteinyldopa, Phaeomelanin, Eumelanin, 5,6-Indolequinone-2-carboxylic acid, (R)-3-(3,4-Dihydroxyphenyl)lactate
43	M00044_C00164	hsa00350	Tyrosine metabolism	Tyrosine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	NA	Pyruvate, Succinate, L-Tyrosine, Fumarate, Phenol, Acetoacetate, Succinate semialdehyde, 3,4-Dihydroxy-L-phenylalanine, Tyramine, Hydroquinone, Homogentisate, L-Noradrenaline, 2,5-Dihydroxybenzoate, 4-Hydroxyphenylacetate, L-Adrenaline, 4-Coumarate, Dopaquinone, 4-Maleylacetoacetate, 3,5-Diiodo-L-tyrosine, 4-Fumarylacetoacetate, 3,4-Dihydroxyphenylacetate, 3-(4-Hydroxyphenyl)pyruvate, Maleic acid, L-Dopachrome, Thyroxine, Rosmarinate, Maleylpyruvate, N-Methyltyramine, Triiodothyronine, 3-Fumarylpyruvate, 3-Iodo-L-tyrosine, 2-Oxohept-3-enedioate, 4-Chlorophenylacetate, Dopamine, 4-Hydroxyphenylacetaldehyde, (R)-3-(4-Hydroxyphenyl)lactate, 3,4-Dihydroxyphenylacetaldehyde, 3-(3,4-Dihydroxyphenyl)pyruvate, 5-Carboxy-2-oxohept-3-enedioate, 5,6-Dihydroxyindole-2-carboxylate, 5-Carboxymethyl-2-hydroxymuconate, 3-Amino-3-(4-hydroxyphenyl)propanoate, 2-Hydroxy-5-carboxymethylmuconate semialdehyde, 4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde, 5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde, 4-Hydroxyphenylacetyl-CoA, 2-Hydroxy-3-(4-hydroxyphenyl)propenoate, 3,4-Dihydroxyphenylethyleneglycol, 3,4-Dihydroxymandelaldehyde, 5,6-Dihydroxyindole, Indole-5,6-quinone, 3,4-Dihydroxymandelate, 3-Methoxy-4-hydroxyphenylacetaldehyde, Homovanillate, 3-Methoxy-4-hydroxyphenylglycolaldehyde, 3-Methoxy-4-hydroxymandelate, Gentisate aldehyde, 3-Methoxytyramine, L-Metanephrine, L-Normetanephrine, 3-Hydroxyphenylacetate, 3-Methoxy-4-hydroxyphenylethyleneglycol, 4-Hydroxyphenylacetylglutamic acid, p-Hydroxyphenylacetylglycine, 2-Hydroxyhepta-2,4-dienedioate, 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole, 4-Hydroxyphenylethanol, Salidroside, Stizolobate, Stizolobinate, Hordenine, 2,4-Dihydroxyhept-2-enedioate, 3,4-Dihydroxyphenylpropanoate, Cysteinyldopa, Phaeomelanin, Eumelanin, 5,6-Indolequinone-2-carboxylic acid, (R)-3-(3,4-Dihydroxyphenyl)lactate
44	M00044_C00122	hsa00350	Tyrosine metabolism	Tyrosine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	NA	Pyruvate, Succinate, L-Tyrosine, Fumarate, Phenol, Acetoacetate, Succinate semialdehyde, 3,4-Dihydroxy-L-phenylalanine, Tyramine, Hydroquinone, Homogentisate, L-Noradrenaline, 2,5-Dihydroxybenzoate, 4-Hydroxyphenylacetate, L-Adrenaline, 4-Coumarate, Dopaquinone, 4-Maleylacetoacetate, 3,5-Diiodo-L-tyrosine, 4-Fumarylacetoacetate, 3,4-Dihydroxyphenylacetate, 3-(4-Hydroxyphenyl)pyruvate, Maleic acid, L-Dopachrome, Thyroxine, Rosmarinate, Maleylpyruvate, N-Methyltyramine, Triiodothyronine, 3-Fumarylpyruvate, 3-Iodo-L-tyrosine, 2-Oxohept-3-enedioate, 4-Chlorophenylacetate, Dopamine, 4-Hydroxyphenylacetaldehyde, (R)-3-(4-Hydroxyphenyl)lactate, 3,4-Dihydroxyphenylacetaldehyde, 3-(3,4-Dihydroxyphenyl)pyruvate, 5-Carboxy-2-oxohept-3-enedioate, 5,6-Dihydroxyindole-2-carboxylate, 5-Carboxymethyl-2-hydroxymuconate, 3-Amino-3-(4-hydroxyphenyl)propanoate, 2-Hydroxy-5-carboxymethylmuconate semialdehyde, 4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde, 5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde, 4-Hydroxyphenylacetyl-CoA, 2-Hydroxy-3-(4-hydroxyphenyl)propenoate, 3,4-Dihydroxyphenylethyleneglycol, 3,4-Dihydroxymandelaldehyde, 5,6-Dihydroxyindole, Indole-5,6-quinone, 3,4-Dihydroxymandelate, 3-Methoxy-4-hydroxyphenylacetaldehyde, Homovanillate, 3-Methoxy-4-hydroxyphenylglycolaldehyde, 3-Methoxy-4-hydroxymandelate, Gentisate aldehyde, 3-Methoxytyramine, L-Metanephrine, L-Normetanephrine, 3-Hydroxyphenylacetate, 3-Methoxy-4-hydroxyphenylethyleneglycol, 4-Hydroxyphenylacetylglutamic acid, p-Hydroxyphenylacetylglycine, 2-Hydroxyhepta-2,4-dienedioate, 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole, 4-Hydroxyphenylethanol, Salidroside, Stizolobate, Stizolobinate, Hordenine, 2,4-Dihydroxyhept-2-enedioate, 3,4-Dihydroxyphenylpropanoate, Cysteinyldopa, Phaeomelanin, Eumelanin, 5,6-Indolequinone-2-carboxylic acid, (R)-3-(3,4-Dihydroxyphenyl)lactate
45	M00046_C00099	hsa00240	Pyrimidine metabolism	Pyrimidine metabolism - Homo sapiens (human)	Metabolism; Nucleotide metabolism	NA	UDP, DNA, RNA, CMP, CTP, L-Glutamine, UTP, Urea, beta-Alanine, UMP, Uracil, CDP, 5-Phospho-alpha-D-ribose 1-diphosphate, Carbamoyl phosphate, Thymine, Thymidine, 3-Oxopropanoate, dCMP, Orotate, Uridine, (S)-Dihydroorotate, dTDP, dTMP, dUMP, Cytosine, Malonate, 5,6-Dihydrouracil, N-Carbamoyl-L-aspartate, dCTP, dTTP, dUTP, Cytidine, Deoxyuridine, 2-Deoxy-D-ribose 1-phosphate, dCDP, Barbiturate, Deoxycytidine, 3',5'-Cyclic CMP, 3-Hydroxypropanoate, Orotidine 5'-phosphate, Pseudouridine 5'-phosphate, (R)-3-Amino-2-methylpropanoate, dUDP, 3'-UMP, Carbamate, Pseudouridine, Methylmalonate, 2',3'-Cyclic CMP, 2',3'-Cyclic UMP, 5-Methylcytosine, 3-Ureidopropionate, 5-Hydroxymethyldeoxycytidylate, 5-Methylbarbiturate, 3'-CMP, P1,P4-Bis(5'-uridyl) tetraphosphate, 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate, 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate, 3-Oxo-3-ureidopropanoate, (Z)-3-Ureidoacrylate peracid, (Z)-3-Peroxyaminoacrylate, Aminoacrylate, Ureidoacrylate, 3-Oxo-3-ureidoisobutyrate, (R)-5,6-Dihydrothymine, (R)-3-Ureidoisobutyrate, 3',5'-Cyclic UMP
46	M00046_C01205	hsa00240	Pyrimidine metabolism	Pyrimidine metabolism - Homo sapiens (human)	Metabolism; Nucleotide metabolism	NA	UDP, DNA, RNA, CMP, CTP, L-Glutamine, UTP, Urea, beta-Alanine, UMP, Uracil, CDP, 5-Phospho-alpha-D-ribose 1-diphosphate, Carbamoyl phosphate, Thymine, Thymidine, 3-Oxopropanoate, dCMP, Orotate, Uridine, (S)-Dihydroorotate, dTDP, dTMP, dUMP, Cytosine, Malonate, 5,6-Dihydrouracil, N-Carbamoyl-L-aspartate, dCTP, dTTP, dUTP, Cytidine, Deoxyuridine, 2-Deoxy-D-ribose 1-phosphate, dCDP, Barbiturate, Deoxycytidine, 3',5'-Cyclic CMP, 3-Hydroxypropanoate, Orotidine 5'-phosphate, Pseudouridine 5'-phosphate, (R)-3-Amino-2-methylpropanoate, dUDP, 3'-UMP, Carbamate, Pseudouridine, Methylmalonate, 2',3'-Cyclic CMP, 2',3'-Cyclic UMP, 5-Methylcytosine, 3-Ureidopropionate, 5-Hydroxymethyldeoxycytidylate, 5-Methylbarbiturate, 3'-CMP, P1,P4-Bis(5'-uridyl) tetraphosphate, 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate, 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate, 3-Oxo-3-ureidopropanoate, (Z)-3-Ureidoacrylate peracid, (Z)-3-Peroxyaminoacrylate, Aminoacrylate, Ureidoacrylate, 3-Oxo-3-ureidoisobutyrate, (R)-5,6-Dihydrothymine, (R)-3-Ureidoisobutyrate, 3',5'-Cyclic UMP
47	M00047_C00791	hsa00330	Arginine and proline metabolism	Arginine and proline metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	NA	Peptide, S-Adenosyl-L-methionine, Pyruvate, L-Glutamate, Glyoxylate, L-Arginine, L-Ornithine, Urea, Putrescine, L-Proline, Agmatine, Sarcosine, p-Coumaroyl-CoA, Creatine, Spermidine, 4-Aminobutanoate, Feruloyl-CoA, 5-Aminopentanoate, N-Carbamoylputrescine, L-Aspartate 4-semialdehyde, Nitric oxide, 4-Aminobutyraldehyde, Guanidinoacetate, Spermine, D-Proline, Creatinine, Homocarnosine, 1,3-Diaminopropane, 4-Guanidinobutanoate, N-Carbamoylsarcosine, 5-Amino-2-oxopentanoic acid, S-Adenosylmethioninamine, Hydroxyproline, L-Glutamate 5-semialdehyde, N-Acetyl-L-glutamate 5-semialdehyde, Nopaline, Phosphocreatine, N-Methylhydantoin, 4-Guanidinobutanal, N-Acetylputrescine, 4-Acetamidobutanoate, 4-Guanidinobutanamide, Phosphoguanidinoacetate, L-Glutamyl 5-phosphate, N2-Succinyl-L-arginine, Norspermidine, N2-Succinyl-L-ornithine, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, (S)-1-Pyrroline-5-carboxylate, Octopine, L-1-Pyrroline-3-hydroxy-5-carboxylate, trans-3-Hydroxy-L-proline, N-Succinyl-L-glutamate, N-Succinyl-L-glutamate 5-semialdehyde, N(omega)-Hydroxyarginine, N4-Acetylaminobutanal, L-4-Hydroxyglutamate semialdehyde, L-Arginine phosphate, (4R)-4-Hydroxy-2-oxoglutarate, L-erythro-4-Hydroxyglutamate, Feruloylputrescine, gamma-L-Glutamylputrescine, gamma-Glutamyl-gamma-aminobutyraldehyde, 4-(L-gamma-Glutamylamino)butanoate, Carboxyspermidine, Carboxynorspermidine, p-Coumaroylputrescine, cis-3-Hydroxy-L-proline, N1-(3-Aminopropyl)agmatine, N1-[(S)-3-amino-3-carboxypropyl]agmatine
48	M00048_C00130	hsa00230	Purine metabolism	Purine metabolism - Homo sapiens (human)	Metabolism; Nucleotide metabolism	NA	ATP, ADP, CO2, Ammonia, AMP, GDP, Glycine, DNA, GTP, RNA, Glyoxylate, 3'-Phosphoadenylyl sulfate, Adenosine 3',5'-bisphosphate, Sulfate, L-Glutamine, ITP, Urea, IDP, D-Ribose 5-phosphate, 5-Phospho-alpha-D-ribose 1-diphosphate, IMP, dATP, GMP, Adenine, Carbamoyl phosphate, dADP, Oxalate, Adenosine, Adenylyl sulfate, Guanine, Hypoxanthine, dGTP, HCO3-, Inosine, ADP-ribose, Deoxyguanosine, dAMP, dGDP, dGMP, Urate, Xanthine, Guanosine, Allantoate, Deoxyadenosine, 3',5'-Cyclic AMP, (S)-Ureidoglycolate, alpha-D-Ribose 1-phosphate, Xanthosine 5'-phosphate, XTP, Oxalureate, 3',5'-Cyclic GMP, Guanosine 3',5'-bis(diphosphate), P1,P4-Bis(5'-adenosyl)tetraphosphate, P1,P4-Bis(5'-guanosyl) tetraphosphate, dIDP, dITP, 3'-AMP, Oxamate, Xanthosine, (S)-Ureidoglycine, (R)(-)-Allantoin, (S)-Allantoin, 2',3'-Cyclic AMP, N-Formiminoglycine, 5-Phosphoribosylamine, Aminoimidazole ribotide, Adenosine tetraphosphate, Inosine 5'-tetraphosphate, N6-(1,2-Dicarboxyethyl)-AMP, 5'-Phosphoribosylglycinamide, 5-Amino-4-imidazolecarboxyamide, 5'-Phosphoribosyl-N-formylglycinamide, P1,P4-Bis(5'-xanthosyl) tetraphosphate, Guanosine 3'-diphosphate 5'-triphosphate, 2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine, 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide, 1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide, 1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate, 1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole, 5-Aminoimidazole, Deoxyinosine, Urate-3-ribonucleoside, 5-Ureido-4-imidazole carboxylate, 5-Amino-4-imidazole carboxylate, Acetyl adenylate, Guanosine 3'-phosphate, 2',3'-Cyclic GMP, Imidazolone, 2'-Deoxyinosine 5'-phosphate, P1,P3-Bis(5'-adenosyl) triphosphate, 5'-Benzoylphosphoadenosine, 5'-Butyrylphosphoinosine, 5-Hydroxyisourate, 5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate, 5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole, N6-Succino-2-amino-2'-deoxyadenylate, dZMP, dZDP, dZTP, 8-Hydroxyadenine, 2,8-Dihydroxyadenine
