Gene	DK18007.28.09.sorted.bam	DK18007.28.10.sorted.bam	DK18007.28.11.sorted.bam	DK18007.28.12.sorted.bam	DK18007.28.13.sorted.bam	DK18007.28.14.sorted.bam
RP11-338I24.1	1	2	0	0	1	1
AC062016.1	0	0	0	0	0	0
AC062016.2	0	0	0	0	0	0
AC062016.3	0	0	0	0	1	0
MTND1P28	1	2	0	1	1	2
MTND2P21	2	1	2	4	1	2
AC012365.3	0	0	0	0	0	1
RNU7-190P	0	0	0	0	0	0
AC092170.1	40	49	36	39	46	21
AC009312.1	1	2	3	3	1	2
DDX18	2495	2646	1657	1941	1750	1596
AC009404.2	70	70	43	69	88	128
HTR5BP	1	1	0	2	1	0
CCDC93	1389	1229	805	1107	1052	1201
AC009303.3	1	0	0	1	0	1
AC009303.1	1	0	0	0	0	0
RP11-98C1.1	0	1	0	0	0	1
RP11-98C1.2	0	0	0	0	0	0
RN7SL111P	0	0	0	0	0	0
INSIG2	748	552	373	452	502	426
AC093901.1	6	3	2	3	1	4
RP11-19E11.1	73	46	0	19	63	4
EN1	2302	1435	6	1048	2190	270
MARCO	56	30	0	21	32	2
RP11-77A13.1	0	0	0	0	0	0
C1QL2	1	0	1	0	0	0
RN7SL468P	0	0	0	0	0	0
STEAP3	163	96	38	169	56	365
STEAP3-AS1	0	0	0	2	1	0
C2orf76	29	35	30	11	31	34
DBI	598	786	459	485	798	604
TMEM37	53	30	4	22	42	17
SCTR	2	0	0	0	1	0
AC013275.2	0	0	0	0	0	0
PCDP1	14	12	1	12	19	19
AC013275.1	0	0	0	0	0	0
TMEM177	271	344	245	274	270	231
AC069154.4	2	0	2	1	1	1
PTPN4	570	579	479	474	523	482
AC016691.2	2	5	1	0	3	0
EPB41L5	1236	1606	1421	1163	1028	1145
AC012363.4	0	1	0	0	0	0
AC012363.7	2	2	1	1	1	5
AC012363.8	1	1	0	2	1	3
MTND3P10	2	0	0	1	0	0
AC012363.10	2	0	0	1	0	1
MTND4P26	2	2	0	2	1	1
MTND5P28	5	1	4	3	0	3
TMEM185B	847	814	533	874	585	432
RALB	313	538	372	299	349	253
AC012363.13	0	0	0	0	0	0
INHBB	344	37	5	146	496	40
LINC01101	0	0	0	1	1	0
AC073257.2	0	0	0	0	0	0
AC073257.1	0	0	0	0	0	0
AC018866.1	0	0	0	0	0	0
GLI2	2046	1862	2057	1919	2185	1435
RP11-297J22.1	0	0	0	2	0	2
AC016764.1	0	0	0	0	0	0
AC067960.1	0	0	0	0	0	0
AC079988.3	0	0	0	0	0	0
TFCP2L1	0	0	0	1	0	1
AC013399.3	0	0	0	0	0	0
CLASP1	2226	2173	1698	1795	2115	1664
RP11-204L24.2	7	10	2	4	10	6
RNU4ATAC	3	0	1	4	7	6
NIFK-AS1	56	54	53	70	52	53
RPL12P15	2	3	1	0	2	1
NPM1P32	279	326	161	205	217	167
NIFK	706	780	493	496	596	416
TSN	2933	2989	1753	1898	2764	1527
RP11-416H1.1	0	1	0	0	0	0
AC018737.3	0	0	1	0	0	0
AC062020.2	0	0	0	0	0	0
AC062020.1	0	0	0	0	0	0
AC073409.1	0	0	0	0	0	0
AC092646.3	0	0	0	0	0	0
AC092646.1	0	0	0	0	0	0
AC092646.2	172	245	125	119	131	127
RN7SKP102	0	0	0	0	0	0
AC079154.1	0	0	0	0	0	0
CNTNAP5	12	13	30	5	23	10
MTND5P22	0	0	0	0	0	0
RP11-56O18.1	0	0	0	0	0	0
RNA5SP102	0	0	0	0	0	0
RNU6-259P	0	0	0	0	0	0
snosnR60_Z15	0	0	0	0	0	0
AC097499.1	0	1	0	0	1	0
AC097499.2	103	101	68	82	87	77
AC114813.1	0	1	0	0	0	0
AC023347.1	0	0	0	0	0	0
AC023347.2	0	0	0	0	0	0
YWHAZP2	548	726	441	378	452	298
GYPC	259	643	559	454	810	412
AC013474.4	1	0	4	1	1	0
RNU6-675P	0	0	0	0	0	0
AC114783.1	0	0	0	0	0	0
RNU7-182P	0	0	0	0	0	0
RP11-521O16.1	0	2	0	1	1	1
RP11-521O16.2	0	2	2	3	2	6
BIN1	683	794	814	783	971	854
NIFKP9	0	0	0	0	0	0
CYP27C1	273	289	368	300	330	313
AC110926.4	70	77	56	59	74	44
ERCC3	1264	1357	889	1152	1335	1328
MAP3K2	934	884	830	903	869	836
RNU6-1147P	1	0	1	1	0	0
AC068282.3	6	56	35	3	5	60
PROC	1	0	2	2	3	1
MIR4783	0	0	0	0	0	0
IWS1	1130	1237	821	1064	1080	860
AC010976.2	9	12	11	15	9	18
RNU4-48P	0	0	0	0	1	0
MYO7B	0	0	1	0	2	0
RP11-286H15.1	0	0	0	0	0	0
LIMS2	11	4	17	3	594	4
GPR17	4	1	22	1	643	3
WDR33	2186	2247	1437	1711	1878	1447
SFT2D3	0	0	0	0	0	0
RNY4P7	0	0	0	0	0	0
RP5-935K16.1	351	445	323	341	505	296
RNU6-395P	0	0	0	0	0	0
POLR2D	692	799	623	621	770	576
AC006011.4	0	0	0	0	0	0
AMMECR1L	1117	1142	808	925	1022	860
RP11-395A13.2	70	80	76	60	92	44
AC012306.2	2	2	3	3	1	1
SAP130	1070	1151	843	886	978	690
AC108059.1	63	90	48	52	61	59
UGGT1	6672	6765	4772	7011	5444	5640
RN7SL206P	0	0	0	0	0	0
AC108059.4	4	2	0	3	3	2
AC108059.2	0	0	0	0	0	0
DYNLT3P2	3	1	2	5	1	2
AC017079.3	2	3	0	0	0	3
AC017079.4	1	1	0	1	1	0
HS6ST1	2034	1718	934	1045	1627	665
RNA5SP103	0	0	0	0	0	0
ISCA1P6	28	38	20	19	40	14
AC012451.1	0	0	0	0	0	0
AC068483.1	0	0	0	0	0	0
AC079586.1	0	0	0	0	0	0
AC019050.1	0	0	0	0	0	0
AC079776.1	2	2	2	3	2	0
AC079776.2	0	0	0	0	1	0
AC079776.3	0	0	0	0	1	0
AC079776.4	0	0	0	0	0	0
RAB6C-AS1	19	7	11	12	12	7
RAB6C	87	111	117	78	118	62
FAR2P1	77	88	7	0	2	24
AC079776.6	0	0	0	0	0	0
AC018865.5	158	146	64	94	183	77
ARHGAP42P2	14	17	6	9	10	9
KLF2P1	18	17	1	0	0	6
CYP4F27P	0	0	0	0	0	0
POTEF	591	793	709	546	754	454
AC018865.11	0	0	0	0	0	0
AC018804.3	0	0	0	0	0	0
RNU6-1049P	0	0	0	0	0	0
MED15P9	3	6	2	0	0	2
CCDC74B	252	204	158	302	239	275
SMPD4	1734	1744	1352	1583	2124	1354
MZT2B	338	410	299	310	578	274
AC018804.1	9	7	2	11	2	6
TUBA3E	0	4	4	3	5	4
AC018804.6	25	12	12	14	26	14
RHOQP3	34	52	39	41	34	28
AC018804.7	615	752	446	589	448	408
AC134915.1	0	0	0	0	0	0
MED15P5	0	0	0	0	0	0
MTND1P29	0	0	0	0	0	0
MTND2P22	0	0	0	0	0	0
AC068137.5	0	0	0	0	0	0
AC068137.6	0	0	0	0	0	0
MTATP6P7	0	0	0	0	0	0
AC068137.8	0	0	0	0	0	0
MTND4P27	0	0	0	0	0	0
MTND5P29	0	0	0	0	0	0
MTND6P8	0	0	0	0	0	0
AC068137.11	0	0	0	0	0	0
AC068137.13	4	3	5	5	5	2
RP11-803A13.1	0	0	0	0	0	0
AC132479.4	0	0	0	0	0	0
CCDC115	278	321	328	254	368	313
IMP4	834	981	664	794	952	753
PTPN18	355	534	508	421	523	572
FAR2P2	39	76	11	10	32	69
KLF2P2	1	3	0	0	0	1
CYP4F62P	8	24	1	0	0	0
POTEI	6	14	4	4	5	5
AC013269.1	0	0	0	0	0	0
RNU6-473P	0	0	0	0	0	0
AC013269.3	0	0	0	0	0	0
CFC1B	5	18	1	1	1	5
AC013269.4	0	0	0	0	0	0
AC013269.5	0	0	0	0	0	0
AC140481.2	0	0	0	0	0	0
AC140481.4	0	0	0	0	0	0
CFC1	4	23	1	1	2	6
POTEJ	1	4	0	0	0	0
RNU6-848P	0	0	0	0	0	0
AC140481.1	0	0	0	0	0	0
CYP4F30P	11	26	1	0	0	0
FAR2P3	10	19	1	0	4	13
KLF2P3	1	0	0	0	0	1
GPR148	0	0	0	0	0	0
AC140481.8	0	0	0	0	0	1
AMER3	26	10	44	32	15	8
CYCSP8	0	0	0	0	0	2
AC133785.1	0	2	1	0	2	1
ARHGEF4	471	1063	286	980	245	553
FAM168B	4069	4165	3287	3300	3841	2499
PLEKHB2	1554	1707	1136	1273	1460	970
NEK2P4	70	102	50	47	42	31
AC009477.7	0	0	0	0	0	0
NF1P8	3	45	1	0	0	0
MED15P8	0	10	0	0	0	0
POTEE	1	11	1	0	0	2
AC131180.1	0	0	0	0	0	0
RNU6-127P	0	0	0	0	0	0
CYP4F31P	2	53	0	0	0	2
FAR2P4	1	52	0	0	1	0
KLF2P4	0	35	0	0	1	0
ARHGAP42P1	11	23	23	11	17	14
AC073869.2	19	25	16	14	36	14
AC073869.1	155	206	159	123	135	96
AC073869.13	0	0	0	0	0	0
MTND6P10	0	0	0	0	0	0
MTND5P23	0	0	0	0	0	0
MTND4P21	0	0	0	0	0	0
AC073869.10	0	0	0	0	0	0
MTATP6P4	0	0	0	0	0	0
AC073869.8	1	0	0	0	0	0
AC073869.7	0	0	0	0	0	0
MTND2P18	0	0	0	0	0	0
MTND1P26	0	0	0	0	0	0
MED15P3	0	0	0	0	0	0
LINC01120	1	0	0	0	4	0
GNAQP1	135	144	108	115	125	83
AC073869.20	418	513	336	433	311	305
RHOQP2	38	61	40	43	51	39
RP11-109E12.1	22	31	22	24	31	41
MZT2A	540	601	460	503	944	477
TUBA3D	22	19	14	17	37	24
MIR4784	0	0	0	0	0	0
AC093838.4	809	914	686	766	1030	1098
CCDC74A	461	423	287	510	439	523
MED15P4	0	0	0	0	0	0
POTEKP	430	539	458	361	269	309
RNU6-617P	0	0	0	0	0	0
LINC01087	0	0	0	0	0	0
GRAMD4P8	0	0	0	0	0	0
C2orf27A	21	43	21	24	14	39
AC093724.2	426	570	351	453	430	309
AC103564.9	0	0	0	0	0	0
C2orf27B	2	1	3	0	0	2
AC103564.7	0	0	0	0	0	0
AC103564.6	1	0	5	1	4	2
RN7SL701P	0	0	0	0	0	0
AJ239322.3	0	0	0	0	0	0
AJ239322.1	0	0	0	0	0	1
RP1-156L9.1	1	0	0	0	0	0
AC093787.1	2	4	4	4	5	4
RP11-629P16.1	0	0	0	0	0	0
AC098826.4	0	0	0	0	0	0
AC098826.5	0	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	1
RNU6-1132P	0	0	0	0	0	0
RNA5-8SP5	0	0	0	0	0	0
MIR663B	0	0	0	0	0	0
CDC27P1	69	79	42	45	67	46
AC097532.2	0	0	0	0	0	0
ZNF806	4	3	3	11	2	6
RP11-725P16.2	140	104	97	270	98	100
FAM201B	32	12	16	55	31	12
RNU6-175P	0	0	0	0	0	0
GPR39	6	6	5	4	1	6
YBX1P7	0	0	0	0	0	0
RN7SKP103	0	0	0	0	0	0
AC104405.1	0	0	0	0	0	0
LYPD1	228	243	43	199	237	128
AC010974.3	0	0	1	0	1	0
NCKAP5	1888	1699	977	1176	1185	1159
AC016909.2	2	2	0	0	0	0
AC016909.1	5	1	3	0	2	3
AC011755.1	4	4	2	2	1	1
AC010890.1	21	10	4	14	15	7
RNU6-579P	2	0	0	0	0	1
RN7SKP154	0	0	0	0	0	0
NCKAP5-IT1	1	1	0	0	1	2
AC011243.1	1	0	0	0	0	1
RN7SKP93	0	0	0	0	0	0
MGAT5	3574	3342	2500	3750	2430	2538
MIR3679	0	1	0	0	0	0
RNA5SP104	0	0	0	0	0	0
AC016906.1	0	0	0	0	0	0
TMEM163	16	34	70	20	24	14
AC013718.1	0	0	0	0	0	0
CCNT2-AS1	25	18	15	18	9	13
AC110620.2	0	0	0	0	0	0
AC110620.1	1	0	0	0	0	2
ACMSD	7	3	1	5	4	6
MIR5590	0	0	0	0	0	0
CCNT2	3047	2533	1938	2303	2184	2527
MAP3K19	1	0	1	0	3	1
RAB3GAP1	1377	1324	808	925	1032	842
ZRANB3	324	432	247	299	266	290
AC064850.4	1083	1176	632	712	754	601
R3HDM1	902	1059	925	904	912	733
RNU6-512P	0	0	0	0	0	0
MIR128-1	0	0	0	0	0	0
UBXN4	4614	4175	2503	3152	3130	3351
LCT	2	2	1	2	7	2
AC011893.3	0	0	0	0	0	0
MCM6	4008	4209	2153	2546	2639	1874
AC011999.1	5	3	3	5	10	1
DARS	1551	1729	910	1053	1104	929
AC093391.2	18	12	8	10	6	20
AC068492.1	0	0	0	0	0	0
CXCR4	3695	3534	2526	2499	2106	3449
HNRNPKP2	3177	3169	2062	1901	2263	1670
UBBP1	82	82	48	57	93	68
RN7SKP141	0	0	0	0	0	0
AC010146.2	0	0	0	0	0	0
AC010146.1	11	11	12	11	25	20
AC092786.1	0	0	0	0	0	0
THSD7B	36	1	0	41	28	8
RNA5SP105	0	0	0	0	0	0
AC020601.1	0	0	0	0	0	0
HNMT	18	50	10	5	31	12
AC069394.1	0	0	0	0	0	0
AC097523.1	346	461	306	232	388	256
YWHAEP5	1774	2324	1180	1353	1608	1078
AC097523.3	120	139	93	97	76	101
AC097721.1	4	2	3	3	4	2
AC097721.2	2	5	4	4	1	5
AC114763.1	0	0	1	0	3	0
SPOPL	240	243	299	189	255	207
AC092620.2	1	2	0	3	3	1
RP11-231E19.1	1	1	0	0	0	0
AC092620.3	0	0	0	0	1	0
NXPH2	137	153	119	71	90	114
RN7SKP286	0	0	0	0	0	0
YY1P2	2	0	1	1	2	0
AHCYP4	208	296	211	259	285	149
AC062021.1	0	0	0	0	0	0
AC016710.1	0	0	0	0	0	0
MRPS18BP2	50	63	36	44	53	49
AC012497.2	0	0	0	0	0	0
AC078851.1	0	0	0	0	0	0
AC078851.2	0	0	0	0	0	0
RN7SL283P	0	0	0	0	0	0
AC073928.2	0	0	0	0	0	0
AC092156.3	0	0	0	0	0	0
MTND2P19	0	0	0	0	0	0
MTND1P27	0	0	0	0	0	0
LRP1B	44	42	33	136	12	21
AC117947.1	51	64	52	54	66	31
AC010740.1	0	0	0	0	0	0
RNU6-904P	0	0	0	0	0	0
AC068287.1	0	0	0	0	0	0
AC012353.1	0	0	0	0	0	0
AC012003.1	0	0	0	0	0	0
AC078882.1	0	0	0	0	0	0
AC016706.1	0	0	0	0	0	0
AC092578.1	0	0	0	0	0	0
AC013444.1	19	13	3	9	5	9
KYNU	6	4	0	4	2	3
RP11-470B22.1	0	0	0	0	0	0
AC013444.2	0	0	0	0	0	0
ARHGAP15	0	3	0	0	17	2
AC013437.2	0	0	0	0	0	0
MTND6P11	0	0	0	0	0	0
MTND5P24	0	0	0	0	0	0
MTND4P22	0	0	0	0	0	0
AC013437.4	0	0	0	0	0	0
MTND3P9	0	0	0	0	0	0
AC013437.6	0	0	0	0	0	0
AC013437.7	0	0	0	0	0	0
RP11-190J23.1	0	0	0	0	0	0
AC096558.1	0	0	0	0	0	0
RP11-570L15.2	0	0	0	0	0	0
RP11-570L15.1	0	0	0	0	0	0
AC092652.1	0	0	0	0	0	0
RP11-434H14.1	0	0	0	0	0	0
CTD-2252P21.1	0	0	0	0	0	0
AC079584.2	0	0	0	0	0	0
AC016910.1	1	2	1	1	0	0
GTDC1	134	174	183	134	246	157
ZEB2	1859	1971	2257	1217	2313	1220
AC009951.2	0	0	0	0	1	0
AC009951.1	1	0	0	2	5	3
ZEB2-AS1	16	18	28	15	12	46
AC010090.1	0	1	0	0	0	0
TEX41	8	6	5	3	0	5
AC023128.1	0	0	0	0	0	0
AC023128.2	6	4	5	5	9	7
RP11-514A9.1	0	0	0	0	0	0
AC064865.1	0	0	0	0	0	0
snR65	0	0	0	0	0	0
RPL6P5	0	0	0	0	0	0
AC092484.1	0	0	0	0	0	0
AC079163.1	0	0	0	0	0	0
AC079248.1	99	127	79	56	73	59
AC062031.1	0	0	0	0	3	0
RNU7-2P	0	0	0	0	0	0
RPL17P12	0	0	0	0	0	0
AC093084.1	0	0	0	0	0	0
PABPC1P2	30	50	29	33	32	32
RP11-638D14.1	0	0	0	0	0	0
AC103881.1	0	0	0	0	0	0
AC062032.1	0	0	0	0	0	0
RNU6-692P	0	0	0	0	0	0
AC013406.1	0	0	0	0	0	0
RNU6-715P	0	0	0	0	0	0
RNA5SP106	0	0	0	0	0	0
AC009480.4	0	0	0	0	0	0
ACVR2A	1288	958	1487	841	1044	927
RNU6-1275P	0	0	0	0	0	0
AC009480.3	0	0	0	0	0	0
ORC4	931	946	568	608	628	609
AC009480.1	0	0	0	0	0	0
MBD5	319	361	309	288	289	239
SNORA48	0	0	0	0	0	0
AC019070.1	1	0	0	0	1	0
AC017080.1	16	15	17	11	28	14
EPC2	509	509	404	317	460	251
RNU2-9P	0	0	0	0	0	0
UBBP3	0	0	0	0	0	0
AC105402.4	0	1	0	0	1	2
AC105402.2	2	1	0	1	0	0
AC105402.3	11	12	3	2	4	6
KIF5C	7774	7340	6311	6778	6877	5388
AC105402.1	0	0	0	0	0	0
LYPD6B	34	8	3	12	13	7
TXNP5	101	135	64	79	89	83
FAM8A3P	26	34	26	19	20	27
LYPD6	272	192	204	207	290	190
AC007394.3	0	0	0	0	0	0
MMADHC	933	951	592	626	858	479
AC144449.1	1	0	1	1	0	0
RNU6-601P	0	0	0	0	0	1
AC007364.1	0	0	0	0	0	0
AC016682.1	0	0	0	0	0	0
AC113610.1	0	0	0	0	0	0
RND3	306	407	487	268	626	322
AC104777.2	0	0	0	0	0	0
AC104777.3	0	0	0	0	0	0
AC104777.1	0	0	0	0	0	0
AC104777.4	0	0	0	0	0	0
AC023469.2	0	0	0	0	0	0
AC023469.1	0	0	0	0	0	0
AC018731.3	0	0	0	0	0	0
FABP5P10	14	21	5	17	12	10
RBM43	61	40	50	112	117	51
NMI	2	4	0	5	27	2
TNFAIP6	1	7	0	0	15	0
MIR4773-2	0	0	0	0	0	0
RN7SL124P	0	0	0	0	0	0
RIF1	3884	3771	2474	2998	2809	2446
NEB	56	50	39	72	33	80
ARL5A	998	1074	927	929	956	724
CACNB4	320	340	258	353	390	462
AC079790.2	1	2	0	0	0	1
STAM2	442	414	330	292	361	274
RPL30P2	116	164	137	112	153	95
FMNL2	2676	2857	1680	2429	2014	2280
AC012066.1	182	206	132	155	231	96
RP11-17G11.1	0	0	0	0	0	0
PRPF40A	4767	4830	2878	3608	3174	3151
ARL6IP6	1975	2052	1277	1906	1734	1524
AC009969.1	0	0	0	0	0	0
UBQLN4P2	0	0	0	0	0	0
ATP5F1P4	0	0	0	0	0	0
AC011901.2	0	0	0	0	0	0
AC079150.2	3	2	1	3	6	2
AC079150.3	0	0	0	0	0	0
AC012501.1	0	0	0	0	0	0
AC012501.3	0	0	0	0	1	1
AC012501.2	0	0	0	0	0	1
SNORD56	0	0	0	1	0	2
RPRM	179	324	68	113	294	159
DNAJA1P2	26	29	19	25	19	9
GALNT13	976	675	245	725	537	556
AC008166.1	0	0	0	0	0	0
AC009297.1	0	0	0	0	0	0
PHBP4	6	1	0	1	5	1
AC009227.2	9	9	5	15	6	13
AC009227.3	0	0	0	0	0	0
RNA5SP107	0	0	0	0	0	0
AC061961.2	1	0	0	0	1	0
KCNJ3	2	3	2	0	6	2
CBX3P6	0	0	0	0	0	0
AC092625.1	0	0	0	0	0	0
RNU6-1001P	0	0	0	0	0	0
AC092662.2	0	0	0	0	0	0
MTND2P20	0	0	0	0	0	0
ATP5A1P2	438	498	328	301	448	254
MTND4P28	0	0	0	0	0	0
MTND5P30	0	0	0	0	0	0
MTND6P9	0	0	0	0	0	0
AC092662.6	0	0	0	0	0	0
RNU6-546P	0	0	0	0	0	0
AC093375.1	90	51	71	97	34	126
AC073551.1	0	1	0	0	1	0
NR4A2	14	13	11	27	64	18
GPD2	1659	743	219	1103	1118	584
AC011308.1	0	0	0	0	0	0
RPLP0P7	0	0	0	0	0	0
AC108057.1	0	0	0	0	0	0
AC016732.2	156	208	103	104	145	88
GALNT5	5	11	2	9	32	2
RN7SKP281	0	0	0	0	0	0
ERMN	12	79	1	7	4	14
FAM133DP	148	132	130	99	132	94
CYTIP	1	2	0	2	0	3
AC019201.1	0	0	0	0	0	0
ACVR1C	42	21	5	18	5	12
AC019186.1	1	0	1	1	1	2
ACVR1	175	229	192	216	405	190
AC013731.1	0	0	0	0	0	0
UPP2	4	5	0	1	1	1
RP11-546J1.1	3	1	0	1	4	0
RNU6-436P	0	0	0	0	0	0
RP11-1152H14.1	0	0	0	0	0	0
AC005539.2	43	78	55	36	47	40
RNU6-932P	0	0	0	0	0	0
PTP4A1P1	45	76	61	84	61	58
UPP2-IT1	1	0	0	0	1	0
CCDC148-AS1	1	1	0	1	0	0
CCDC148	33	29	8	29	17	9
HNRNPDLP2	177	197	103	153	151	182
RN7SL393P	0	0	0	0	0	0
PKP4	2204	2097	647	1520	1554	1033
snoZ5	0	0	0	0	0	0
AC005042.2	0	0	0	1	1	2
AC005042.4	21	18	11	27	22	23
AC005042.5	0	0	0	0	0	0
AC005042.3	0	0	0	0	0	0
DAPL1	0	0	0	0	0	0
OR7E89P	0	0	0	0	0	0
OR7E28P	0	0	0	0	0	0
OR7E90P	0	0	0	0	0	0
RNU2-21P	0	0	0	0	0	0
TANC1	191	525	323	388	409	328
BTF3L4P2	353	386	295	255	291	262
RNU6-580P	0	0	0	0	0	0
GSTM3P2	17	65	13	17	52	29
WDSUB1	94	67	79	63	70	66
BAZ2B	1521	1373	1338	1066	1076	1175
AC008277.1	1	1	0	0	1	0
RP11-311B14.1	0	0	0	0	0	0
AC009506.2	0	0	0	0	0	0
AC009506.1	15	24	24	22	19	18
AC009961.3	3	6	5	2	7	6
AC009961.2	4	3	3	1	3	1
MARCH7	2076	2165	1379	1405	1523	1382
CD302	13	16	5	17	16	16
LY75	0	0	1	1	1	1
LY75-CD302	0	0	0	0	0	0
AC009961.5	0	0	0	0	0	0
PLA2R1	3	8	1	0	2	7
ITGB6	0	0	1	0	0	0
RBMS1	483	570	170	231	589	288
RMRPP3	0	0	0	0	0	0
MIR4785	0	0	0	0	0	0
RN7SL423P	0	0	0	0	0	0
AC009313.2	1	0	0	0	0	0
AC009313.1	0	0	0	0	0	0
TANK	220	261	183	188	215	187
AC009299.2	4	0	1	0	1	2
AC009299.3	0	0	0	0	0	1
AC009299.4	3	0	3	0	0	0
PSMD14	1080	1544	776	841	907	677
AC009299.5	312	399	363	340	398	489
AC009299.1	0	1	0	0	0	0
5S_rRNA	3	6	2	1	1	1
TBR1	0	1	2	0	2	0
AC009487.4	0	0	0	0	0	0
AC009487.5	0	0	0	0	0	0
SLC4A10	3	1	3	0	5	2
AHCTF1P1	1587	1560	850	1314	899	1085
AC062022.1	2	2	1	5	2	3
KRT18P46	0	0	0	0	0	0
AC092841.1	0	0	0	0	0	0
RPEP5	0	0	0	0	0	0
DPP4	20	26	8	28	13	18
AC008063.2	0	0	0	0	0	0
TIMM8AP1	12	20	9	21	12	18
EIF3EP2	0	0	0	0	0	0
AC008063.3	0	0	0	0	0	0
GCG	0	0	0	0	0	0
AC007750.5	0	0	2	0	0	0
FAP	2	0	31	1	3	2
IFIH1	13	39	2	30	26	6
GCA	314	319	228	223	317	202
KCNH7	180	258	41	157	113	207
RNA5SP109	0	0	0	0	0	0
AC007740.1	1	0	0	1	0	1
RPL7P61	0	0	0	0	0	0
RNU6-627P	0	0	0	0	0	0
FIGN	790	1177	991	1157	1271	1428
AC092684.1	0	0	0	0	0	0
PRPS1P1	0	0	0	0	0	0
CYP2C56P	0	0	0	0	0	0
AC110086.1	0	0	0	0	0	0
GRB14	13	22	4	11	27	24
COBLL1	72	169	118	100	107	150
AC019181.3	0	1	0	0	1	0
SNORA70F	0	0	0	0	0	0
AC019181.2	0	0	0	0	0	0
RNA5SP110	0	0	0	0	0	0
RNA5SP111	0	0	0	0	0	0
SLC38A11	0	0	0	0	0	0
AC013463.2	0	0	0	0	0	0
SCN3A	357	459	559	266	427	246
RN7SL455P	0	0	0	0	0	0
SCN2A	28	50	56	24	27	19
MAPRE1P3	4	2	1	4	3	1
CSRNP3	910	1439	957	1964	943	1081
GALNT3	10	10	6	11	21	21
AC009495.2	0	0	0	0	0	0
AC009495.4	0	0	0	0	0	0
AC009495.1	0	0	0	0	0	0
AC009495.3	0	1	1	0	1	0
TTC21B	542	630	462	624	448	611
TTC21B-AS1	1	2	2	2	1	3
AC010127.3	2	0	0	1	2	1
SCN1A	78	19	20	38	238	18
RN7SKP152	0	0	0	0	0	0
SCN9A	80	44	181	68	75	190
SCN7A	880	299	69	346	513	160
XIRP2	0	1	1	0	1	0
AC092601.1	0	0	0	0	0	0
XIRP2-AS1	0	0	0	0	0	0
AC074363.1	3	2	3	2	4	5
RNU7-148P	0	0	0	0	0	0
CTAGE14P	17	15	11	13	12	9
AC016723.4	0	0	0	1	1	1
B3GALT1	250	171	134	199	160	157
STK39	567	790	623	366	647	337
AC067940.1	3	6	2	0	2	1
RN7SL95P	0	0	0	0	0	0
RN7SL813P	0	1	0	0	0	0
CERS6	2571	2080	1438	2198	1463	1592
MIR4774	0	0	0	0	0	0
RNU6-766P	0	0	0	0	0	0
CERS6-AS1	8	1	4	8	1	2
NOSTRIN	61	41	36	59	55	62
SPC25	296	304	184	210	257	184
G6PC2	0	0	0	1	0	0
ABCB11	0	2	0	0	1	0
DHRS9	0	0	0	0	0	1
AC007556.3	0	0	0	0	0	0
UBE2V1P6	0	0	0	0	0	0
LRP2	2198	6303	1238	2724	3197	2015
BBS5	135	212	154	142	171	143
RP11-724O16.1	0	0	0	0	0	0
KLHL41	5	7	5	5	5	7
FASTKD1	905	742	386	616	575	680
AC093899.3	1	0	0	0	0	0
PPIG	2829	3090	1588	2025	2011	1677
CCDC173	48	30	37	38	69	22
AC016772.4	39	56	25	25	42	36
PHOSPHO2	125	59	49	70	50	67
KLHL23	2155	2190	1415	1605	1739	1276
PTCHD3P2	5	8	5	14	7	10
AC009967.3	3	3	1	4	4	2
SSB	1885	2334	1307	1525	1472	1365
METTL5	264	371	189	311	265	223
UBR3	1374	1272	1090	971	993	934
AC092641.2	26	37	17	27	26	17
RNU6-1006P	0	0	0	0	0	0
MYO3B	69	21	0	13	17	6
AC012594.1	0	0	0	0	0	0
HMGB1P4	19	22	11	10	7	16
AC007277.3	3032	940	12	688	292	222
LINC01124	355	187	8	88	79	22
SP5	2364	1856	211	1375	1963	286
AC007405.4	27	22	6	11	6	12
EIF2S2P4	1136	1464	768	1223	1006	671
AC007405.6	44	28	15	36	32	17
ERICH2	4	8	4	5	3	3
GAD1	2988	640	57	500	528	119
AC007405.8	57	10	2	10	7	0
AC010092.1	0	0	0	1	0	0
GORASP2	1538	1822	1080	1258	1300	880
TLK1	1044	1101	1013	931	906	863
METTL8	552	640	538	673	464	639
AC008065.1	0	3	0	0	0	0
DCAF17	823	838	770	907	683	1089
DAP3P2	215	263	161	165	219	150
AC007969.4	27	30	20	24	15	21
AC007969.5	1755	2262	2403	1796	2664	1463
CYBRD1	381	296	68	779	216	282
RPL21P38	0	0	0	0	0	0
DYNC1I2	1211	1205	829	835	925	685
AC068039.1	0	1	1	0	0	0
AC068039.4	10	14	11	3	18	8
SLC25A12	450	461	279	332	426	321
RNU6-182P	0	0	0	1	0	0
HAT1	1339	1387	709	869	1008	670
METAP1D	325	271	198	274	267	363
DLX1	1	17	1	3	592	2
DLX2	1	4	2	1	280	1
AC104801.1	0	0	0	0	1	0
AC104088.1	0	0	0	0	0	0
ITGA6	3835	3472	1954	2459	3395	2310
AC078883.4	0	0	0	1	1	1
AC078883.3	2	5	0	2	0	0
AC093818.1	22	14	6	12	14	12
PDK1	503	578	317	491	281	507
AC018712.2	0	0	0	0	0	0
RAPGEF4-AS1	5	0	0	2	0	4
RAPGEF4	47	51	25	38	44	66
